Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Age Number,Age Unit,Grouped Sex upon Outcome
A794011,Chunk,2019-05-08 18:20:00,May 2019,2017-05-02,Rto-Adopt,Cat,Neutered Male,736,Domestic Shorthair Mix,Brown Tabby/White,2,365.0,Fixed
A776359,Gizmo,2018-07-18 16:02:00,Jul 2018,2017-07-12,Adoption,Dog,Neutered Male,371,Chihuahua Shorthair Mix,White/Brown,1,365.0,Fixed
A720371,Moose,2016-02-13 17:59:00,Feb 2016,2015-10-08,Adoption,Dog,Neutered Male,128,Anatol Shepherd/Labrador Retriever,Buff,4,30.0,Fixed
A659412,Princess,2020-10-05 14:37:00,Oct 2020,2013-03-24,Adoption,Dog,Spayed Female,2752,Chihuahua Shorthair Mix,Brown,7,365.0,Fixed
A814515,Quentin,2020-05-06 07:59:00,May 2020,2018-03-01,Adoption,Dog,Neutered Male,797,American Foxhound/Labrador Retriever,White/Brown,2,365.0,Fixed
A689724,*Donatello,2014-10-18 18:52:00,Oct 2014,2014-08-01,Adoption,Cat,Neutered Male,78,Domestic Shorthair Mix,Black,2,30.0,Fixed
A680969,*Zeus,2014-08-05 16:59:00,Aug 2014,2014-06-03,Adoption,Cat,Neutered Male,63,Domestic Shorthair Mix,White/Orange Tabby,2,30.0,Fixed
A840370,Tulip,2021-08-19 19:36:00,Aug 2021,2019-08-06,Adoption,Dog,Spayed Female,744,Border Collie/Cardigan Welsh Corgi,Black/White,2,365.0,Fixed
A742354,Artemis,2017-01-22 11:56:00,Jan 2017,2010-01-20,Return to Owner,Cat,Neutered Male,2559,Domestic Shorthair Mix,Blue/White,7,365.0,Fixed
A818049,Fiona,2020-06-01 13:24:00,Jun 2020,2018-06-01,Return to Owner,Dog,Intact Female,731,Pit Bull,White/Blue,2,365.0,Intact
A843327,*Mary,2021-10-08 13:25:00,Oct 2021,2019-09-29,Transfer,Dog,Intact Female,740,Chihuahua Shorthair Mix,Black/White,2,365.0,Intact
A803149,*Birch,2019-08-31 16:26:00,Aug 2019,2019-08-08,Transfer,Cat,Intact Male,23,Domestic Shorthair,Brown Tabby,3,7.0,Intact
A698049,Luigi,2015-03-16 14:50:00,Mar 2015,2014-06-05,Transfer,Cat,Spayed Female,284,Domestic Medium Hair Mix,Black/White,9,30.0,Fixed
A730621,*Liza,2016-09-10 18:59:00,Sep 2016,2016-05-18,Adoption,Cat,Spayed Female,115,Domestic Shorthair Mix,Calico,3,30.0,Fixed
A765349,Einstein,2018-06-08 13:04:00,Jun 2018,2009-01-18,Adoption,Dog,Neutered Male,3428,Chihuahua Shorthair Mix,Tricolor,9,365.0,Fixed
A760697,Star,2017-10-26 15:22:00,Oct 2017,2007-10-23,Transfer,Dog,Intact Male,3656,Yorkshire Terrier Mix,Brown/Black,10,365.0,Intact
